S1;Female;50;4;4
S2;Female;53;5;2
S3;Female;27;4;2
S4;Female;26;4;4
S5;Female;29;3;2
S6;Female;41;4;4
S7;Female;35;3;3
S8;Male;54;5;4
S9;Female;31;2;4
S10;Female;19;3;4
S11;Female;35;5;4
S12;Male;36;4;3
S13;Male;44;2;2
S14;Male;54;1;2
S15;Female;25;2;4
S16;Male;50;4;4
S17;Female;40;2;3
S18;Female;50;1;4
S19;Male;37;2;3
S20;Female;21;5;3
S21;Male;40;4;3
S22;Female;45;2;3
S23;Male;20;5;3
S24;Male;27;2;3
S25;Female;36;5;3
S26;Male;27;3;4
S27;Male;20;3;4
S28;Male;34;2;4
S29;Female;32;1;4
S30;Female;21;5;4
S31;Male;28;4;2
S32;Male;49;3;2
S33;Male;51;2;3
S34;Female;46;5;3
S35;Female;32;4;4
S36;Female;27;5;2
S37;Male;28;3;3
S38;Female;21;2;3
S39;Male;50;4;4
S40;Male;40;3;4
S41;Male;28;2;4
S42;Male;42;5;3
S43;Female;49;5;4
S44;Female;34;4;4
S45;Male;53;1;2
S46;Male;21;5;2
S47;Male;23;4;3
S48;Male;39;2;4
S49;Male;24;2;3
S50;Female;45;4;4
S51;Male;39;1;4
S52;Male;38;4;3
S53;Female;47;5;3
S54;Male;20;4;3
S55;Female;43;2;2
S56;Male;32;1;2
S57;Male;44;5;4
S58;Female;52;1;4
S59;Female;43;4;4
S60;Female;39;2;4
S61;Male;51;2;3
S62;Male;22;2;2
S63;Female;33;4;3
S64;Male;24;5;4
S65;Female;45;3;4
S66;Male;47;2;4
S67;Male;55;5;3
S68;Female;55;2;3
S69;Female;24;3;4
S70;Male;34;3;4
S71;Male;29;3;4
S72;Male;51;5;3
S73;Female;55;5;3
S74;Female;42;2;2
S75;Male;29;4;4
S76;Male;42;4;3
S77;Male;37;5;2
S78;Male;21;3;4
S79;Male;24;2;3
S80;Female;18;4;3
S81;Female;46;5;3
S82;Female;44;5;3
S83;Male;48;4;2
S84;Female;29;5;2
S85;Female;36;5;3
S86;Male;19;3;4
S87;Male;52;5;4
S88;Male;29;3;2
S89;Female;50;1;2
S90;Male;34;1;4
S91;Male;53;2;2
S92;Male;55;4;3
S93;Male;30;2;4
S94;Female;53;3;4
S95;Male;23;5;3
S96;Male;47;4;4
S97;Female;35;3;4
S98;Female;32;3;4
S99;Male;53;1;3
S100;Female;22;4;4
S101;Male;25;3;2
S102;Male;23;1;3
S103;Male;19;4;4
S104;Male;41;4;4
S105;Female;51;5;2
S106;Male;47;5;2
S107;Female;50;4;4
S108;Male;29;2;2
S109;Male;42;5;3
S110;Male;22;1;4
S111;Female;46;3;4
S112;Male;28;4;2
S113;Female;49;1;3
S114;Female;42;5;3
S115;Female;46;1;3
S116;Female;34;5;2
S117;Female;29;1;2
S118;Female;18;2;4
S119;Male;50;4;3
S120;Male;52;4;4
S121;Male;36;4;2
S122;Male;41;3;4
S123;Female;29;2;4
S124;Female;55;4;3
S125;Male;34;1;4
S126;Male;43;1;3
S127;Male;43;5;2
S128;Female;28;2;4
S129;Female;30;4;3
S130;Male;33;1;3
S131;Male;28;4;2
S132;Male;55;5;3
S133;Male;48;3;3
S134;Male;34;5;3
S135;Male;25;1;2
S136;Male;36;1;4
S137;Female;39;2;4
S138;Female;43;1;3
S139;Male;26;3;4
S140;Female;30;2;2
S141;Male;28;1;2
S142;Male;23;5;3
S143;Male;33;2;2
S144;Female;26;2;3
S145;Female;21;5;4
S146;Male;36;5;4
S147;Female;41;4;4
S148;Male;43;2;4
S149;Female;35;5;3
S150;Male;37;2;2
S151;Female;46;4;4
S152;Female;34;5;4
S153;Male;38;4;2
S154;Female;29;1;3
S155;Male;32;1;4
S156;Male;40;1;3
S157;Male;31;2;4
S158;Male;34;4;3
S159;Female;28;4;2
S160;Female;41;1;3
S161;Female;29;3;2
S162;Female;39;2;4
S163;Female;54;4;4
S164;Female;50;4;3
S165;Female;23;2;2
S166;Male;29;2;2
S167;Male;52;4;2
S168;Male;18;1;4
S169;Female;51;4;4
S170;Male;29;1;3
S171;Male;27;3;2
S172;Female;40;1;2
S173;Male;51;5;2
S174;Female;29;2;4
S175;Male;32;3;3
S176;Female;40;2;3
S177;Male;19;5;4
S178;Female;50;3;2
S179;Female;34;5;3
S180;Female;51;1;3
S181;Male;34;1;3
S182;Male;48;5;2
S183;Female;21;5;4
S184;Male;34;1;4
S185;Male;37;2;2
S186;Female;20;5;3
S187;Female;34;2;4
S188;Female;24;4;2
S189;Female;35;2;3
S190;Male;50;3;2
S191;Male;21;4;2
S192;Male;19;3;3
S193;Female;54;3;3
S194;Female;19;2;4
S195;Male;18;1;4
S196;Male;32;1;3
S197;Male;42;4;3
S198;Male;37;1;2
S199;Female;36;1;4
S200;Male;38;4;4
S201;Female;25;1;3
S202;Female;47;2;4
S203;Male;40;2;3
S204;Female;38;3;3
S205;Male;44;2;3
S206;Female;45;2;3
S207;Male;34;3;4
S208;Female;53;4;4
S209;Female;54;2;4
S210;Female;45;5;4
S211;Male;19;4;4
S212;Female;45;4;3
S213;Female;36;1;3
S214;Male;45;2;2
S215;Female;26;4;2
S216;Male;50;5;2
S217;Female;19;4;4
S218;Male;55;5;4
S219;Male;24;5;2
S220;Female;20;5;4
S221;Male;52;2;2
S222;Female;19;3;2
S223;Male;21;4;3
S224;Male;28;3;4
S225;Male;31;4;4
S226;Male;33;4;3
S227;Female;47;5;3
S228;Male;34;2;3
S229;Female;44;4;2
S230;Female;27;2;4
S231;Female;23;5;4
S232;Male;37;4;3
S233;Female;20;1;2
S234;Male;24;5;3
S235;Female;36;2;2
S236;Male;23;3;2
S237;Male;19;4;2
S238;Female;34;3;3
S239;Female;22;3;2
S240;Male;21;3;4
S241;Female;20;2;3
S242;Male;39;1;4
S243;Female;41;5;2
S244;Female;39;2;3
S245;Female;42;3;4
S246;Male;44;5;2
S247;Female;53;2;2
S248;Female;39;5;3
S249;Female;40;4;4
S250;Male;44;3;2
S251;Male;42;5;4
S252;Female;39;4;3
S253;Female;48;2;3
S254;Female;37;4;4
S255;Male;34;4;2
S256;Female;24;1;2
S257;Female;33;1;3
S258;Male;45;2;3
S259;Male;32;2;3
S260;Female;23;5;2
S261;Female;47;1;3
S262;Female;35;2;4
S263;Female;47;2;3
S264;Female;21;3;2
S265;Male;19;2;3
S266;Female;47;4;3
S267;Female;51;4;2
S268;Female;49;3;4
S269;Male;52;1;4
S270;Male;41;5;2
S271;Male;20;3;3
S272;Female;46;3;2
S273;Male;51;1;4
S274;Male;33;1;2
S275;Female;29;3;2
S276;Male;40;1;4
S277;Male;53;3;4
S278;Female;19;3;2
S279;Male;35;4;2
S280;Female;53;1;3
S281;Male;31;2;4
S282;Female;46;2;2
S283;Male;39;3;4
S284;Female;21;3;2
S285;Male;28;3;2
S286;Female;46;3;2
S287;Male;53;3;2
S288;Male;25;1;2
S289;Male;34;5;2
S290;Male;55;5;2
S291;Female;45;5;3
S292;Female;22;3;4
S293;Male;47;2;3
S294;Male;25;1;3
S295;Female;18;1;4
S296;Female;53;2;2
S297;Male;48;5;3
S298;Male;37;3;4
S299;Male;50;2;4
S300;Female;53;4;2
S301;Male;51;5;2
S302;Male;22;1;2
S303;Female;43;5;3
S304;Female;30;5;4
S305;Male;51;5;3
S306;Male;39;3;4
S307;Female;22;4;3
S308;Male;25;4;3
S309;Male;48;5;2
S310;Male;34;2;3
S311;Male;44;5;3
S312;Male;51;2;2
S313;Male;38;4;2
S314;Male;23;1;3
S315;Male;46;5;4
S316;Female;46;2;2
S317;Female;26;5;3
S318;Male;42;3;3
S319;Male;48;4;3
S320;Male;46;1;2
S321;Female;50;3;3
S322;Female;44;1;3
S323;Female;30;2;4
S324;Male;55;3;4
S325;Male;41;1;4
S326;Female;29;5;2
S327;Female;41;3;2
S328;Male;25;4;4
S329;Male;35;3;3
S330;Female;44;2;3
S331;Male;22;5;2
S332;Male;24;5;4
S333;Male;30;3;3
S334;Female;22;3;3
S335;Female;54;2;4
S336;Male;22;5;4
S337;Female;37;2;3
S338;Male;26;2;2
S339;Female;26;2;3
S340;Male;45;1;4
S341;Female;48;1;3
S342;Female;50;1;4
S343;Female;42;1;3
S344;Male;54;1;3
S345;Male;50;5;2
S346;Male;25;3;2
S347;Male;49;5;3
S348;Female;52;4;2
S349;Female;44;2;4
